,Name,Price,Product Link,Image
43,AMERICAN CREW,599,https://www.amazon.in/American-Crew-Mens-AC160-Medium/dp/B00SYP34IS?dchild=1,https://m.media-amazon.com/images/I/71xXfDqiVaL._AC_UL320_.jpg
44,Generic,178,https://www.amazon.in/HVBK-Sleeve-Hooded-T-Shirt-AZ-5-C-M-Blue/dp/B089BVTWCY?dchild=1,https://m.media-amazon.com/images/I/71I2EQQ1q-L._AC_UL320_.jpg
45,Amazon Brand - Symbol,399,https://www.amazon.in/Amazon-Brand-Symbol-Regular-SS18PLK127-B_Multicolor4_XXL/dp/B073X4MJF5?dchild=1,https://m.media-amazon.com/images/I/81qkPUsqIVL._AC_UL320_.jpg
46,EYEBOGLER,449,https://www.amazon.in/EYEBOGLER-Regular-Cotton-T-Shirt-Blue-Orange/dp/B07NVCM697?dchild=1,https://m.media-amazon.com/images/I/61ptYDK-xvL._AC_UL320_.jpg
47,Wear Your Opinion,499,https://www.amazon.in/Wear-Your-Opinion-Camouflage-GreyCamo/dp/B07LGD2959?dchild=1,https://m.media-amazon.com/images/I/714Lkwsi-qL._AC_UL320_.jpg
,Name,Price,Product Link,Image
0,Caseria,335,https://www.amazon.in/Caseria-Cotton-Graphic-Printed-T-Shirt/dp/B07FXF56DW?dchild=1,https://m.media-amazon.com/images/I/61WR83cOEyL._AC_UL320_.jpg
1,BULLMER,698,https://www.amazon.in/BULLMER-Halfsleeve-Printed-Cotton-Tshirt/dp/B0892RLGJK?dchild=1,https://m.media-amazon.com/images/I/71AR-fg00pL._AC_UL320_.jpg
2,US Polo Association,529,https://www.amazon.in/U-S-Polo-Assn-Regular-I638-002-PL_Black_X-Large/dp/B0793HNVXG?dchild=1,https://m.media-amazon.com/images/I/81Z9uIN2FQL._AC_UL320_.jpg
3,Amazon Brand - Symbol,399,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO2V3_S_Multicolor3/dp/B073X2QWXY?dchild=1,https://m.media-amazon.com/images/I/9194ee1ZunL._AC_UL320_.jpg
4,Scott International,499,https://www.amazon.in/Scott-International-Cotton-T-Shirts-Multicolour_XL/dp/B079ZYDL47?dchild=1,https://m.media-amazon.com/images/I/71esfqstYmL._AC_UL320_.jpg
5,AELOMART,449,https://www.amazon.in/AELOMART-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%9F-AMT1279_%E0%A4%B8%E0%A4%AB%E0%A4%BC%E0%A5%87%E0%A4%A6_%E0%A4%AA%E0%A5%88%E0%A4%B0%E0%A5%87%E0%A4%82%E0%A4%9F-%E0%A4%B8%E0%A4%AB%E0%A4%BC%E0%A5%87%E0%A4%A6/dp/B0847Q9ZD4?dchild=1,https://m.media-amazon.com/images/I/71uc3AnMvZL._AC_UL320_.jpg
6,Jockey,799,https://www.amazon.in/Jockey-Mens-Asymmetric-T-Shirt-8901326164754_3912_X-Large_White/dp/B072BGFXZR?dchild=1,https://m.media-amazon.com/images/I/51vmb5mYSoL._AC_UL320_.jpg
